antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'root vegetables'}),frozenset({'whole milk'}),0.16942148760330578,0.34736570247933884,0.06275826446280992,0.37042682926829273,1.066388611841509,0.003907050406393012,1.0366297800812438,0.07495444587760795
frozenset({'whole milk'}),frozenset({'root vegetables'}),0.34736570247933884,0.16942148760330578,0.06275826446280992,0.18066914498141265,1.066388611841509,0.003907050406393012,1.0137278576892501,0.09539117449243655
frozenset({'sausage'}),frozenset({'whole milk'}),0.14824380165289255,0.34736570247933884,0.060950413223140494,0.41114982578397213,1.1836223980933385,0.009455600923775696,1.1083197833634895,0.18213657995086902
frozenset({'whole milk'}),frozenset({'sausage'}),0.34736570247933884,0.14824380165289255,0.060950413223140494,0.1754646840148699,1.1836223980933385,0.009455600923775696,1.0330136039466724,0.2377073370312489
frozenset({'whole milk'}),frozenset({'soda'}),0.34736570247933884,0.2350206611570248,0.09039256198347108,0.26022304832713755,1.107234772662282,0.008754444923502497,1.0340675484862327,0.14839730906212906
frozenset({'soda'}),frozenset({'whole milk'}),0.2350206611570248,0.34736570247933884,0.09039256198347108,0.38461538461538464,1.107234772662282,0.008754444923502497,1.0605307334710743,0.1266036461850102
frozenset({'yogurt'}),frozenset({'soda'}),0.20583677685950413,0.2350206611570248,0.05630165289256198,0.27352572145545795,1.1638369159071793,0.007925757504610338,1.0530026477683094,0.17725964048631307
frozenset({'soda'}),frozenset({'yogurt'}),0.2350206611570248,0.20583677685950413,0.05630165289256198,0.23956043956043954,1.1638369159071793,0.007925757504610338,1.0443475911240625,0.18402207781749247
frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.1621900826446281,0.34736570247933884,0.062241735537190084,0.3837579617834395,1.104766414888831,0.005902463544156827,1.0590551391291347,0.11318949506525947
frozenset({'whole milk'}),frozenset({'tropical fruit'}),0.34736570247933884,0.1621900826446281,0.062241735537190084,0.17918215613382898,1.104766414888831,0.005902463544156827,1.0207013938795064,0.14530539057843359
frozenset({'yogurt'}),frozenset({'whole milk'}),0.20583677685950413,0.34736570247933884,0.08729338842975207,0.424090338770389,1.2208756815754247,0.01579275183986749,1.1332233880696447,0.22780680232837822
frozenset({'whole milk'}),frozenset({'yogurt'}),0.34736570247933884,0.20583677685950413,0.08729338842975207,0.2513011152416357,1.2208756815754245,0.01579275183986749,1.060724463876829,0.2772085149029533
